배송년월일,수하인_구명,수하인_구코드,대분류_착지물동량 가구/인테리어,대분류_착지물동량 기타,대분류_착지물동량 도서/음반,대분류_착지물동량 디지털/가전,대분류_착지물동량 생활/건강,대분류_착지물동량 스포츠/레저,대분류_착지물동량 식품,대분류_착지물동량 출산/육아,대분류_착지물동량 패션의류,대분류_착지물동량 패션잡화,대분류_착지물동량 화장품/미용
20180101,강남구,11680,174,1336,857,321,990,71,1356,59,835,478,1075
20180101,강동구,11740,89,531,314,158,684,32,730,33,375,224,552
20180101,강북구,11305,68,300,218,87,534,22,558,15,227,145,394
20180101,강서구,11500,139,857,509,248,1047,53,1206,39,579,424,821
20180101,관악구,11620,118,719,483,158,805,45,1033,14,374,295,599
20180101,광진구,11215,65,501,327,149,537,38,681,37,336,203,473
20180101,구로구,11530,81,550,260,140,716,22,799,46,307,251,520
20180101,금천구,11545,56,256,148,102,486,10,430,21,160,168,333
20180101,노원구,11350,138,762,535,192,978,28,999,32,437,305,723
20180101,도봉구,11320,58,369,240,121,564,23,678,36,229,205,438
20180101,동대문구,11230,48,414,275,118,622,27,662,27,299,186,444
20180101,동작구,11590,81,686,408,161,733,32,774,42,445,228,519
20180101,마포구,11440,55,707,462,258,632,39,812,44,417,317,579
20180101,서대문구,11410,39,522,362,110,514,29,628,27,301,294,368
20180101,서초구,11650,116,972,610,209,827,30,1057,31,714,382,720
20180101,성동구,11200,30,452,275,132,591,17,663,31,311,187,465
20180101,성북구,11290,89,681,428,151,642,41,828,20,352,226,574
20180101,송파구,11710,142,1007,689,274,1139,51,1476,50,712,445,945
20180101,양천구,11470,75,859,428,160,691,32,828,34,454,305,641
20180101,영등포구,11560,70,572,341,177,680,37,877,30,413,292,571
20180101,용산구,11170,85,415,233,119,341,8,563,14,274,133,327
20180101,은평구,11380,78,528,362,173,668,32,917,18,353,279,657
20180101,종로구,11110,12,279,183,77,320,11,484,12,185,136,338
20180101,중구,11140,34,262,146,80,376,11,431,7,152,265,255
20180101,중랑구,11260,51,376,211,133,552,24,650,32,298,178,497
20180102,강남구,11680,4000,23968,5265,16162,22552,2613,23713,3081,17474,9466,13426
20180102,강동구,11740,1979,9830,2128,6981,11110,1195,11334,2114,9682,4626,6638
20180102,강북구,11305,1318,6273,1323,4659,7205,822,8206,1298,7044,3164,4443
20180102,강서구,11500,2976,15408,3293,11081,16343,2063,17781,3487,15724,7103,10183
20180102,관악구,11620,2989,13251,2625,9663,14093,1721,15941,2264,13047,6302,9387
20180102,광진구,11215,1918,9368,2073,6837,9723,1113,10225,1698,8950,4292,6403
20180102,구로구,11530,2076,10308,1922,8339,11125,1384,11778,2218,9722,4891,6773
20180102,금천구,11545,1164,6843,1123,6223,6703,805,6752,1075,7726,3459,4185
20180102,노원구,11350,2332,12187,2997,8498,12652,1545,14227,2542,11939,5865,7872
20180102,도봉구,11320,1306,6972,1439,4858,7586,901,8327,1482,8452,3365,4610
20180102,동대문구,11230,1702,9511,2084,6220,9401,1080,9868,1657,10325,4417,5823
20180102,동작구,11590,2021,10290,2427,7537,10653,1321,12009,1922,9709,4802,6814
20180102,마포구,11440,2484,12557,3207,8887,12685,1470,13058,2146,10797,5313,8098
20180102,서대문구,11410,1619,8460,1943,5726,8127,975,9549,1472,7537,3776,5228
20180102,서초구,11650,2646,15195,3785,11010,14944,1952,16268,2442,10941,6132,8610
20180102,성동구,11200,1587,8569,2009,5880,8797,1070,9271,1690,8415,4686,5200
20180102,성북구,11290,2090,10994,2556,7290,11201,1583,11777,2058,14276,8495,6657
20180102,송파구,11710,3473,18351,4057,12733,18898,2298,19636,3484,15888,8146,11382
20180102,양천구,11470,1948,10121,2588,7114,10911,1275,11862,2170,9455,4675,6973
20180102,영등포구,11560,2248,11546,2418,9124,11697,1452,12276,1879,9208,4982,7178
20180102,용산구,11170,1443,7749,1467,7318,7356,859,8232,1130,5798,2881,4129
20180102,은평구,11380,2133,9415,2049,6948,11092,1334,12592,1986,11778,4937,6992
20180102,종로구,11110,1046,6301,1489,4458,5973,714,6491,704,4527,2545,3078
20180102,중구,11140,1086,7559,1574,4955,6318,785,6425,837,6148,2901,5391
20180102,중랑구,11260,1645,8194,1535,5798,9060,995,9352,1760,9275,3903,5544
20180103,강남구,11680,2938,19475,4598,10972,15961,1663,17577,1979,16381,7399,8416
20180103,강동구,11740,1268,6891,1673,4122,6754,654,7799,1252,7876,3125,3973
20180103,강북구,11305,886,4583,861,2816,4464,428,5668,783,5666,2103,2606
20180103,강서구,11500,2093,11211,2449,6623,10185,1165,12112,2250,12389,5212,6158
20180103,관악구,11620,1839,8865,2269,5683,8481,877,10849,1403,10736,4600,5563
20180103,광진구,11215,1317,6526,1626,4100,6174,712,7252,1011,7814,3223,4506
20180103,구로구,11530,1436,7579,1674,5143,7337,825,8522,1417,8013,4121,4276
20180103,금천구,11545,879,6072,1061,5001,4878,538,4941,856,7151,2570,2947
20180103,노원구,11350,1462,8377,2254,4627,7943,815,9693,1526,9377,3823,4646
20180103,도봉구,11320,906,4988,1133,2899,4511,428,5605,883,6433,2287,2705
20180103,동대문구,11230,1188,7068,1524,3712,6073,659,6882,1085,8842,3229,3637
20180103,동작구,11590,1451,6943,2217,4065,6528,679,8258,1206,8001,3507,4077
20180103,마포구,11440,1674,9418,2624,5650,8329,836,9361,1212,9044,4211,4913
20180103,서대문구,11410,1129,5664,1539,3313,5189,591,6566,839,6117,2654,3030
20180103,서초구,11650,1865,11551,3274,7191,10073,1079,11940,1564,9159,4618,5335
20180103,성동구,11200,1168,6511,1487,3931,5846,634,6720,1060,7579,3689,3164
20180103,성북구,11290,1370,8956,1936,4214,7057,882,8503,1301,14839,5996,3958
20180103,송파구,11710,2400,13160,3316,7826,12229,1333,13979,2204,13855,5813,7078
20180103,양천구,11470,1313,7293,2047,4108,7073,707,7993,1296,7347,3221,4090
20180103,영등포구,11560,1563,8600,2294,5972,7798,843,8907,1240,7864,3567,4422
20180103,용산구,11170,1138,6290,1189,6458,5043,506,5987,680,4723,2198,2380
20180103,은평구,11380,1324,6759,1608,3872,6775,655,8180,1253,8799,3323,4120
20180103,종로구,11110,920,5041,1374,3007,4338,412,4883,571,4082,2035,1936
20180103,중구,11140,874,6671,1319,3659,5036,594,5252,571,6150,2534,3317
20180103,중랑구,11260,1006,6019,1189,3317,5552,631,6502,1071,7465,2691,3376
20180104,강남구,11680,2865,16855,3598,9591,14149,1364,16148,1772,13533,5960,7881
20180104,강동구,11740,1093,6032,1347,3510,5702,640,6921,1093,6444,2610,4034
20180104,강북구,11305,884,4005,711,2359,3674,410,4828,652,5119,1771,2544
20180104,강서구,11500,1831,10039,1943,5674,9040,979,10886,2052,10572,4312,5638
